--------------
Thu Apr 25 22:16:20 2024 TW Stock List
--------------
2347.TW, Close: 77.10, RSI(talib): 61.65
2603.TW, Close: 181.00, RSI(talib): 60.63
2317.TW, Close: 151.50, RSI(talib): 65.20
2637.TW, Close: 67.10, RSI(talib): 62.25
--------------
2633.TW failed ('NoneType' object has no attribute 'text').
3050.TW failed ('NoneType' object has no attribute 'text').
1904.TW failed ('NoneType' object has no attribute 'text').
2906.TW failed ('NoneType' object has no attribute 'text').
3016.TW failed ('NoneType' object has no attribute 'text').
1201.TW failed ('NoneType' object has no attribute 'text').
2497.TW failed ('NoneType' object has no attribute 'text').
4927.TW failed ('NoneType' object has no attribute 'text').
2820.TW failed ('NoneType' object has no attribute 'text').
5706.TW failed ('NoneType' object has no attribute 'text').
2388.TW failed ('NoneType' object has no attribute 'text').
9955.TW failed ('NoneType' object has no attribute 'text').
3661.TW failed ('NoneType' object has no attribute 'text').
2474.TW failed ('NoneType' object has no attribute 'text').
6271.TW failed ('NoneType' object has no attribute 'text').
2031.TW failed ('NoneType' object has no attribute 'text').
8046.TW failed ('NoneType' object has no attribute 'text').
2108.TW failed ('NoneType' object has no attribute 'text').
1313.TW failed ('NoneType' object has no attribute 'text').
1762.TW failed ('NoneType' object has no attribute 'text').
3504.TW failed ('NoneType' object has no attribute 'text').
2345.TW failed ('NoneType' object has no attribute 'text').
8341.TW failed ('NoneType' object has no attribute 'text').
2308.TW failed ('NoneType' object has no attribute 'text').
9945.TW failed ('NoneType' object has no attribute 'text').
1589.TW failed ('NoneType' object has no attribute 'text').
1453.TW failed ('NoneType' object has no attribute 'text').
3712.TW failed ('NoneType' object has no attribute 'text').
2014.TW failed ('NoneType' object has no attribute 'text').
6005.TW failed ('NoneType' object has no attribute 'text').
2013.TW failed ('NoneType' object has no attribute 'text').
1711.TW failed ('NoneType' object has no attribute 'text').
2436.TW failed ('NoneType' object has no attribute 'text').
2327.TW failed ('NoneType' object has no attribute 'text').
6235.TW failed ('NoneType' object has no attribute 'text').
